method,policy,checkpoint,repeat,average_query_shots,low_shots,high_shots,offline_quantum_shots,weight_low,weight_high,mae_F_e,rmse_F_e,bias_F_e,pearson
adaptive_hybrid,random,bidir_seed0,4,64,32,96,8192,0.5070287173255168,0.5470672982343867,0.05756952543180883,0.07348441707882465,0.01097306111157591,0.9310876554259385
adaptive_dfe,random,bidir_seed0,4,64,32,96,0,,,0.07137808082908609,0.09271950854812984,0.0011096156409217248,0.9053984802237323
adaptive_hybrid,width,bidir_seed0,4,64,32,96,8192,0.4258094045301915,0.7479683901421382,0.05326199659434897,0.06933087157856825,0.009047396281492297,0.9384868306418973
adaptive_dfe,width,bidir_seed0,4,64,32,96,0,,,0.07245724723937985,0.09360895231211319,0.0002777290668476512,0.9040425301236558
adaptive_hybrid,disagreement,bidir_seed0,4,64,32,96,8192,0.36917687454454545,0.7072891486052901,0.05361263928133758,0.06868340090381261,0.0073744231335353665,0.9396662465508346
adaptive_dfe,disagreement,bidir_seed0,4,64,32,96,0,,,0.06765141198411584,0.08645104734120561,-0.0014945510257449413,0.914105879773245
adaptive_hybrid,combined,bidir_seed0,4,64,32,96,8192,0.40234385582526044,0.7097546074695991,0.05323549404752728,0.06826685626664124,0.007035403760826983,0.9402376518159234
adaptive_dfe,combined,bidir_seed0,4,64,32,96,0,,,0.070151075479949,0.09046576356031036,0.0016573173604984442,0.9079691828588716
fixed_hybrid,fixed,bidir_seed1,0,32,32,32,6144,0.5565930994057555,0.5565930994057555,0.06551785922810409,0.08278173259563626,0.010822058842038967,0.9105616788420612
adaptive_hybrid,random,bidir_seed1,0,32,16,48,6144,0.31159323254139504,0.7657853536973388,0.06623688868907554,0.08522882348696585,0.01100050963790678,0.905168745268457
adaptive_dfe,random,bidir_seed1,0,32,16,48,0,,,0.10093601719813826,0.13148981422120865,-0.0010966922294486472,0.8317851889401252
adaptive_hybrid,width,bidir_seed1,0,32,16,48,6144,0.7463796751542018,0.5730790237877504,0.08010938574591243,0.10239878460443672,0.00908951574448106,0.8707525645011681
adaptive_dfe,width,bidir_seed1,0,32,16,48,0,,,0.10209473417135616,0.13187795578766262,0.0006704208657894463,0.8329782139312862
adaptive_hybrid,disagreement,bidir_seed1,0,32,16,48,6144,0.4839472255112904,0.7473934230837215,0.06724775946886881,0.08553214386479578,0.009472093850721192,0.9053905196345488
adaptive_dfe,disagreement,bidir_seed1,0,32,16,48,0,,,0.09252493558192833,0.1167678719099821,0.0021688500985936805,0.8560961501020584
adaptive_hybrid,combined,bidir_seed1,0,32,16,48,6144,0.2584751379794842,0.8242286603925535,0.06221704355250302,0.08150439603528105,0.007281372643665263,0.9132827496752738
adaptive_dfe,combined,bidir_seed1,0,32,16,48,0,,,0.09488333435913933,0.12096213556924137,0.0035846073737259548,0.8533672630620788
fixed_hybrid,fixed,bidir_seed1,0,64,64,64,8192,0.6736098969155394,0.6736098969155394,0.05266496761852474,0.0663782656756943,0.006902851492373299,0.9428293340095989
