model,n_calib,n_test,split_seed,ridge,mae_F_e,rmse_F_e,bias_F_e,pearson
bidir_seed1_affine,64,7936,20260806,,0.08892507798619718,0.11653968407603083,0.015974918558130317,0.8131070069859043
bidir_seed2_raw,64,7936,20260806,,0.380323049281874,0.4106998736984935,0.380323049281874,0.8230890996922802
bidir_seed2_affine,64,7936,20260806,,0.08606369865475375,0.11345686265441825,0.01422939784269851,0.8230890996922802
bidir_seed3_raw,64,7936,20260806,,0.3790967392569949,0.40933835486543596,0.3790967392569949,0.8220683818035367
bidir_seed3_affine,64,7936,20260806,,0.08661005870268931,0.11374264420796458,0.013742374196412409,0.8220683818035367
bidir_seed4_raw,64,7936,20260806,,0.38127589540465945,0.4117439331761097,0.38127589540465945,0.8251165969334724
bidir_seed4_affine,64,7936,20260806,,0.0854001535330187,0.11297265276454878,0.014913575270975834,0.8251183522649859
product_raw,128,7872,20260806,,0.43431053264634456,0.46406928978608614,0.43431053264634456,0.7298280733009117
exact_observed_marginals,128,7872,20260806,,0.44235474778852174,0.47257490639302613,0.44235474778852174,0.7452294556501203
constant_cal_median,128,7872,20260806,,0.16071671741348276,0.20336445534510117,-0.04618460216892626,
product_affine,128,7872,20260806,,0.11260887687627451,0.13649068800807826,-0.0010368907524760322,0.7298280733009117
exact_marginals_affine,128,7872,20260806,,0.10955872669974577,0.13309376895695488,-0.0009140236115404804,0.7452294556501203
summary_ridge,128,7872,20260806,1.0,0.09369491645660327,0.1144931470606017,-0.006187219354201663,0.8189922270529982
oracle_eta_ridge,128,7872,20260806,1.0,0.07924271358046381,0.0922508516316095,-0.010972661593266249,0.8879069935784537
fidelityno_seed0_raw,128,7872,20260806,,0.38661742388513093,0.41786105804764434,0.38661742388513093,0.7941807922011819
fidelityno_seed0_affine,128,7872,20260806,,0.09377885677852613,0.12128168511226879,0.0147641982627255,0.7942716085702317
fidelityno_seed1_raw,128,7872,20260806,,0.38569421032102913,0.4168530517314951,0.38569421032102913,0.798142990398091
fidelityno_seed1_affine,128,7872,20260806,,0.09306740940383951,0.12028230034635463,0.014630785990954657,0.7982323894897098
fidelityno_seed2_raw,128,7872,20260806,,0.38707711427411956,0.4181423949507308,0.38707711427411956,0.802961444799024
fidelityno_seed2_affine,128,7872,20260806,,0.0918635891656154,0.11899458865847785,0.014503752755203585,0.8030306782796366
fidelityno_seed3_raw,128,7872,20260806,,0.3885735482056966,0.4198034474306295,0.3885735482056966,0.7958250696688508
fidelityno_seed3_affine,128,7872,20260806,,0.09358818546823847,0.12090195472427444,0.014967971607520072,0.7959329550807364
fidelityno_seed4_raw,128,7872,20260806,,0.3868323128416801,0.41805198841333957,0.3868323128416801,0.8065577635329364
fidelityno_seed4_affine,128,7872,20260806,,0.09069095266811518,0.11803868881015249,0.014657119728490903,0.8066388677839783
bidir_seed0_raw,128,7872,20260806,,0.38096468171248654,0.411271876173215,0.38096468171248654,0.8226313024509984
bidir_seed0_affine,128,7872,20260806,,0.08804321046293469,0.11389576181887498,0.012454760905172316,0.8226313024509982
bidir_seed1_raw,128,7872,20260806,,0.3843724226628286,0.41484209206347816,0.3843724226628286,0.81322917916902
bidir_seed1_affine,128,7872,20260806,,0.09074105885602228,0.11668248717199675,0.013458950790995981,0.8132324114767779
bidir_seed2_raw,128,7872,20260806,,0.3803100415895413,0.41070295621926456,0.3803100415895413,0.8232786652829294
bidir_seed2_affine,128,7872,20260806,,0.08796645626239247,0.11366060238532473,0.012050725295679365,0.8232786652829289
bidir_seed3_raw,128,7872,20260806,,0.37907636034817294,0.4093320483222393,0.37907636034817294,0.8222772857943653
bidir_seed3_affine,128,7872,20260806,,0.08834326005394762,0.11377419868930626,0.01049582818020881,0.8222772857943649
bidir_seed4_raw,128,7872,20260806,,0.38125819420040685,0.4117426814879572,0.38125819420040685,0.8252624476600471
bidir_seed4_affine,128,7872,20260806,,0.08711874052689295,0.11297522994283929,0.011871621501533359,0.8252624476600471
product_raw,256,7744,20260806,,0.4340028726805602,0.4638190545066189,0.4340028726805602,0.729973610246748
exact_observed_marginals,256,7744,20260806,,0.4420423049470431,0.47232100864905474,0.4420423049470431,0.7453811288055202
constant_cal_median,256,7744,20260806,,0.16089369305544188,0.2043353808670641,-0.04971909636827879,
product_affine,256,7744,20260806,,0.1122294090265707,0.13600871206567208,-0.006881735876467995,0.7299736102467482
exact_marginals_affine,256,7744,20260806,,0.10917621290761219,0.13262849595838255,-0.006419477373632737,0.7453811288055205
summary_ridge,256,7744,20260806,1.0,0.0872813552692264,0.10710404853162918,-0.009532389513066926,0.844545486935021
oracle_eta_ridge,256,7744,20260806,1.0,0.07200752884154822,0.08477279827140186,-0.00909510665952165,0.9070269333407407
fidelityno_seed0_raw,256,7744,20260806,,0.3863706427812961,0.41767597823720964,0.3863706427812961,0.7943018727273312
fidelityno_seed0_affine,256,7744,20260806,,0.09501540714301854,0.12063417218954232,0.00689054980112252,0.7944057574692966
fidelityno_seed1_raw,256,7744,20260806,,0.38544433165345465,0.4166633986888793,0.38544433165345465,0.7983319273068749
fidelityno_seed1_affine,256,7744,20260806,,0.09431254958082042,0.11960411811991686,0.0064832119835523385,0.7984343984428286
fidelityno_seed2_raw,256,7744,20260806,,0.3868243187321504,0.4179503263894527,0.3868243187321504,0.803134284556877
fidelityno_seed2_affine,256,7744,20260806,,0.09315455600820335,0.11832220308655006,0.006343025728157946,0.8032157884181685
fidelityno_seed3_raw,256,7744,20260806,,0.38832407298570976,0.4196144822136355,0.38832407298570976,0.7960142861433955
fidelityno_seed3_affine,256,7744,20260806,,0.09489246531846962,0.1202168424249505,0.006834877937631238,0.7961342584346306
fidelityno_seed4_raw,256,7744,20260806,,0.38658443422052885,0.4178664892773016,0.38658443422052885,0.806696266157175
fidelityno_seed4_affine,256,7744,20260806,,0.09191922122054445,0.11739806540847197,0.007113616911692852,0.806788341176696
