base_index,length,fidelity_min,fidelity_max,ambiguity_diameter,minimax_abs_lower_bound,bayes_mae_lower_bound
538,8,0.7984781572766224,0.8633745489639117,0.06489639168728933,0.03244819584364467,0.01722101965509349
539,24,0.1230638305681584,0.40770882649184004,0.28464499592368164,0.14232249796184082,0.07385613758928582
540,8,0.5863197420893804,0.7166358698670687,0.1303161277776883,0.06515806388884415,0.03458025412655353
541,16,0.08700442545150283,0.4604715470220307,0.37346712157052786,0.18673356078526393,0.09763646746770394
542,24,0.23519116492986447,0.4307370236336201,0.19554585870375563,0.09777292935187781,0.05011727923485945
543,24,0.11196535859492862,0.43134993912457587,0.31938458052964724,0.15969229026482362,0.08212948583067782
544,8,0.4564927175492976,0.6084880807911963,0.15199536324189872,0.07599768162094936,0.040404287092000606
545,24,0.2863992246449572,0.42878756514787725,0.14238834050292004,0.07119417025146002,0.036669884359914945
546,16,0.22598774964978557,0.5508136400656711,0.32482589041588555,0.16241294520794278,0.08522361484614689
547,24,0.12127542097196639,0.4364191317356274,0.315143710763661,0.1575718553818305,0.08103166995667918
548,24,0.08845816028305734,0.38810172591910586,0.29964356563604855,0.14982178281802427,0.07826517519159916
549,24,0.11928530992004371,0.4254089902094344,0.3061236802893907,0.15306184014469534,0.07895770338532553
550,16,0.08400890018747162,0.4577643879707881,0.37375548778331646,0.18687774389165823,0.09768865504506646
551,16,0.09071747143534048,0.44720811439920405,0.35649064296386357,0.17824532148193178,0.09356998506718626
552,8,0.6046420445797122,0.70817788254808,0.10353583796836785,0.051767918984183925,0.027541990895619848
553,24,0.2587162675678142,0.41646674122497473,0.15775047365716055,0.07887523682858028,0.040863362575594045
554,16,0.044620329297027944,0.3929461371232084,0.3483258078261805,0.17416290391309025,0.09142135747516714
555,16,0.047496579613967194,0.4007487551157446,0.3532521755017774,0.1766260877508887,0.0926871690163587
556,24,0.10881088914476492,0.42579183399964254,0.3169809448548776,0.1584904724274388,0.08177595763397308
557,8,0.415881998426426,0.5726365131175654,0.15675451469113938,0.07837725734556969,0.04167078056704431
558,8,0.719633827166784,0.7984539465870794,0.07882011942029532,0.03941005971014766,0.020951983975308782
559,8,0.4943723140033027,0.6207952055923076,0.12642289158900488,0.06321144579450244,0.033636853845152026
560,8,0.6281367255586827,0.7313840582660431,0.10324733270736042,0.05162366635368021,0.027453368546641134
561,16,0.17575843309836522,0.5284114210291088,0.3526529879307435,0.17632649396537176,0.09227287265937614
562,8,0.7675016871094166,0.8256166533715432,0.058114966262126644,0.029057483131063322,0.015459663741728224
563,24,0.19116065089203696,0.41454514323196734,0.22338449233993038,0.11169224616996519,0.05800065374309616
564,16,0.10613025060293169,0.48376239858176673,0.37763214797883504,0.18881607398941752,0.09864885424454406
565,24,0.4207070146009417,0.4412504582639405,0.020543443662998817,0.010271721831499409,0.005169987727132345
566,8,0.6007951160005613,0.7093624227919526,0.10856730679139126,0.05428365339569563,0.02886678265735203
567,24,0.14326663569205678,0.43359186621511164,0.29032523052305487,0.14516261526152743,0.07440982658922207
568,24,0.17562124451275868,0.40056227324066873,0.22494102872791005,0.11247051436395503,0.05894077884940686
569,16,0.10422062647782923,0.4335111190129713,0.3292904925351421,0.16464524626757104,0.08676480404124298
570,16,0.14502179241751556,0.5152723992306163,0.37025060681310074,0.18512530340655037,0.09670525407625573
571,8,0.5763670679952888,0.6773128100295666,0.10094574203427775,0.050472871017138876,0.02686700209350276
572,24,0.3005447444092113,0.4197257282869771,0.11918098387776577,0.059590491938882884,0.031087837288791963
573,16,0.38554404125017594,0.6457283599909616,0.2601843187407856,0.1300921593703928,0.06835876923441125
574,8,0.6345813862724181,0.7335122262338362,0.09893083996141805,0.049465419980709024,0.02630908925280487
575,8,0.6531352022267253,0.7505430927734125,0.09740789054668719,0.048703945273343596,0.02589439553973094
576,16,0.06425674502457157,0.4354396782466595,0.37118293322208795,0.18559146661104398,0.09699650156371817
577,24,0.05174509918669465,0.4572905418108081,0.4055454426241134,0.2027727213120567,0.10497384515467259
578,24,0.4069978614495518,0.43270256871585366,0.025704707266301863,0.012852353633150931,0.006781858141795575
579,8,0.5548389463747577,0.6832648068793237,0.12842586050456595,0.06421293025228297,0.034132150164626944
580,24,0.14905962852990728,0.4215782422423194,0.2725186137124121,0.13625930685620605,0.07008980412831368
581,8,0.5291126770376823,0.664229301878048,0.13511662484036568,0.06755831242018284,0.03591302587418189
582,16,0.09963832526904404,0.45071647980463436,0.3510781545355903,0.17553907726779516,0.09222157834890189
583,16,0.27122124414339593,0.5976465584026491,0.3264253142592532,0.1632126571296266,0.08508215872485822
584,16,0.05329137135857445,0.428246544605275,0.3749551732467006,0.1874775866233503,0.09792657108776047
585,8,0.6047392803169789,0.71770273033204,0.11296345001506114,0.05648172500753057,0.030025128489113095
586,24,0.1355781867372367,0.41626294376943135,0.28068475703219464,0.14034237851609732,0.07244351413141799
587,8,0.5419863448609524,0.6604388794970402,0.11845253463608774,0.05922626731804387,0.03151436333115432
588,8,0.7994677257413926,0.8576473921871854,0.058179666445792866,0.029089833222896433,0.015466946017737727
589,16,0.033367391699986676,0.35376368114444967,0.32039628944446297,0.16019814472223148,0.0843890762375806
590,16,0.04091013126968285,0.3739488125818373,0.33303868131215447,0.16651934065607724,0.08724450587476729
591,16,0.09427324144990087,0.47199505590316415,0.37772181445326325,0.18886090722663162,0.09861325403750308
592,16,0.18845841407681505,0.5032026135065644,0.3147441994297493,0.15737209971487465,0.08284944791788493
593,24,0.10239972602793279,0.4414002228473719,0.3390004968194391,0.16950024840971956,0.08713021920775618
594,16,0.18543601206188345,0.5008127781304192,0.3153767660685358,0.1576883830342679,0.08302595635644829
595,24,0.2140235441784929,0.43565504366984764,0.22163149949135474,0.11081574974567737,0.05651164525402496
596,8,0.810804514484421,0.8651427890782839,0.05433827459386287,0.027169137296931434,0.014445196560172298
597,24,0.10709020998690746,0.40139419901449674,0.29430398902758925,0.14715199451379463,0.07659212326546698
598,24,0.05944696201747532,0.4760116859511496,0.4165647239336743,0.20828236196683714,0.10681686937015432
599,16,0.29041118479887473,0.5795384205061855,0.2891272357073108,0.1445636178536554,0.07603425582978446
600,16,0.053078385134532724,0.3996793051430511,0.3466009200085184,0.1733004600042592,0.09101417585879638
601,16,0.2453607366061052,0.5747232899898711,0.3293625533837659,0.16468127669188296,0.08624140682252064
602,8,0.5167363928803212,0.6553703870375798,0.13863399415725852,0.06931699707862926,0.036842940566123215
603,8,0.7062372308422398,0.7873351980160046,0.08109796717376483,0.040548983586882414,0.02156119357134328
604,16,0.1237584170509389,0.4641532240965783,0.3403948070456394,0.1701974035228197,0.08948209911537539
605,16,0.05260738353787728,0.4071563695440311,0.3545489860061538,0.1772744930030769,0.09308252768545258
606,24,0.09195268159766895,0.4307943819497191,0.33884170035205013,0.16942085017602507,0.08733128021033826
607,8,0.5625810278984915,0.6842993829039574,0.1217183550054659,0.06085917750273295,0.0323589032256101
608,24,0.12775974687003153,0.42451854280993306,0.2967587959399015,0.14837939796995075,0.07677021799486394
609,8,0.558778314061252,0.687102160607342,0.12832384654608997,0.06416192327304499,0.034097836933046806
610,16,0.11275094358556828,0.46680643948986167,0.3540554959042934,0.1770277479521467,0.09285241635162364
611,24,0.24531955315813803,0.4190846023409077,0.1737650491827697,0.08688252459138485,0.045083234036597225
612,24,0.14519885196169824,0.4109563804368681,0.26575752847516987,0.13287876423758493,0.0688215492496045
613,24,0.22655082088651876,0.42496055556712625,0.1984097346806075,0.09920486734030375,0.05140230005211756
614,16,0.07653196852839009,0.4224773378229217,0.34594536929453157,0.17297268464726578,0.09099390999727913
615,8,0.5416210822395239,0.6730344376679394,0.13141335542841548,0.06570667771420774,0.034926490834874264
616,16,0.0885467491773681,0.4545196981604749,0.3659729489831068,0.1829864744915534,0.09585391461433221
617,16,0.044122362317805086,0.4073275425399193,0.36320518022211423,0.18160259011105712,0.09488437331533925
618,16,0.11573653754235827,0.4703626574904121,0.3546261199480538,0.1773130599740269,0.09298551933191408
619,24,0.059710206520486114,0.4398531802018522,0.38014297368136607,0.19007148684068303,0.0981695134908031
620,24,0.08826611730680572,0.45922978157310246,0.37096366426629673,0.18548183213314837,0.09468693489456877
621,24,0.22653874969061139,0.4168057606464443,0.19026701095583293,0.09513350547791646,0.0489362104158587
622,16,0.03966584911572674,0.3789230156072496,0.3392571664915229,0.16962858324576144,0.08914482828147755
623,24,0.15686106255245727,0.3776001980338356,0.22073913548137833,0.11036956774068916,0.057924515353579856
624,8,0.6428930616720229,0.7352358953673113,0.0923428336952884,0.0461714168476442,0.02456894447511005
625,16,0.0560963005409261,0.40975518008955725,0.3536588795486312,0.1768294397743156,0.09287463978421746
626,24,0.21974065843615637,0.4055320894280826,0.18579143099192624,0.09289571549596312,0.048732183330661656
627,8,0.48718946298947163,0.6291625677910191,0.14197310480154746,0.07098655240077373,0.0377446570012996
628,24,0.06711637939074894,0.48173739711040353,0.4146210177196546,0.2073105088598273,0.10538311792163
629,24,0.08714386993210022,0.42592273551845283,0.3387788655863526,0.1693894327931763,0.08746614471669749
630,16,0.04328322225763173,0.4085968453422922,0.3653136230846604,0.1826568115423302,0.09541133927306543
631,16,0.22264472347839323,0.5674094479805964,0.3447647245022032,0.1723823622511016,0.08999101717746502
632,8,0.5372496952930934,0.6781990520927799,0.14094935679968645,0.07047467839984323,0.037421917009504826
633,16,0.03617174243388635,0.3668457321280525,0.33067398969416617,0.16533699484708309,0.0870200579963032
634,16,0.30031973133752854,0.6214087221943909,0.3210889908568624,0.1605444954284312,0.083796900958357
635,8,0.7902115565956808,0.8529158231704106,0.06270426657472983,0.031352133287364914,0.016662953588143493
636,24,0.09172357362415604,0.43098648263304107,0.339262909008885,0.1696314545044425,0.08740593381744732
637,16,0.07703317042157035,0.42752171751369283,0.3504885470921225,0.17524427354606126,0.09206909862469577
638,16,0.17454163709868487,0.5011432711885393,0.32660163408985443,0.16330081704492722,0.08582741534528744
639,16,0.11432497177100659,0.48125375994593034,0.36692878817492375,0.18346439408746187,0.09593610801807624
640,8,0.5861616823716532,0.6895731659246438,0.10341148355299057,0.051705741776495284,0.027517274605620944
641,8,0.40741190250196263,0.5602408564054011,0.15282895390343848,0.07641447695171924,0.04065688633417237
642,8,0.6224711282860873,0.7291968409399109,0.10672571265382358,0.05336285632691179,0.028372318212882695
643,16,0.11716529704454134,0.47981248520817255,0.3626471881636312,0.1813235940818156,0.0950403897442512
644,16,0.04483225525159404,0.3893345785130884,0.3445023232614943,0.17225116163074716,0.08994241896614025
645,16,0.16172929073247533,0.5187491284413174,0.35701983770884205,0.17850991885442102,0.0934186703671747
646,8,0.716591704945594,0.794612532551649,0.078020827606055,0.0390104138030275,0.02074929146695333
647,24,0.06745213936425926,0.45755010938388607,0.3900979700196268,0.1950489850098134,0.10025163106924503
648,8,0.5331494270100887,0.6580358702231186,0.12488644321302989,0.06244322160651494,0.033213495668252706
649,24,0.18307868191118348,0.41770625147622253,0.23462756956503905,0.11731378478251953,0.060874916183922906
650,24,0.22573040538874725,0.4030303414326952,0.17729993604394798,0.08864996802197399,0.04604682724846895
651,16,0.09292404669143037,0.4590023053505585,0.36607825865912813,0.18303912932956407,0.09592798172279872
652,8,0.5368281911555063,0.666496565738944,0.12966837458343772,0.06483418729171886,0.03447377175151346
653,24,0.3454224816918119,0.4484475936327016,0.1030251119408897,0.05151255597044485,0.025360149782489124
654,8,0.6947456195273458,0.7827986471015744,0.08805302757422862,0.04402651378711431,0.023405371998237896
655,16,0.08846563067897087,0.46796092688773916,0.3794952962087683,0.18974764810438416,0.0990271675928708
656,24,0.12370347653129479,0.42238617885440066,0.2986827023231059,0.14934135116155295,0.07692087963333877
657,24,0.11664531820370796,0.43605100686928744,0.3194056886655795,0.15970284433278975,0.08178157697254237
658,24,0.10560053125341043,0.4571217964076406,0.3515212651542302,0.1757606325771151,0.08938292314839615
659,8,0.7341889202869222,0.8065208116872293,0.07233189140030716,0.03616594570015358,0.019237461776879187
660,8,0.7928235081405985,0.8495324227827535,0.056708914642154995,0.028354457321077498,0.015083763306642472
661,16,0.20433193521010615,0.5328642594103505,0.32853232420024436,0.16426616210012218,0.08626740188292552
662,8,0.656595487248814,0.7511878402373837,0.09459235298856972,0.04729617649428486,0.025152031680812148
663,8,0.8305354704692014,0.8793876217615091,0.04885215129230769,0.024426075646153844,0.012988199956753302
664,24,0.0651386404059168,0.44921445764322926,0.38407581723731243,0.19203790861865622,0.09880678702748841
665,16,0.04789446131398051,0.35009428597779685,0.30219982466381634,0.15109991233190817,0.07919606070096677
666,24,0.18845430180853134,0.411552930113986,0.22309862830545468,0.11154931415272734,0.057806322711105154
667,24,0.1875849248094983,0.4195932638216764,0.2320083390121781,0.11600416950608905,0.05951328958147718
668,16,0.06881081485434928,0.43177161855355484,0.3629608036992056,0.1814804018496028,0.09516300499456057
669,8,0.7160854435936526,0.7994630953986201,0.08337765180496759,0.041688825902483795,0.022159922612493783
670,8,0.7661945154087972,0.8346566558545343,0.06846214044573706,0.03423107022286853,0.018194653377163018
671,24,0.1414629996472905,0.41034115255340775,0.2688781529061173,0.13443907645305864,0.06970928069357335
672,16,0.10204314383607768,0.4593278359596741,0.35728469212359637,0.17864234606179819,0.09375198297862637
673,16,0.17498976709256844,0.5047692673024053,0.32977950020983693,0.16488975010491846,0.08669048553269096
674,8,0.8200201935523005,0.8711080386573968,0.05108784510509634,0.02554392255254817,0.01358076049478963
675,24,0.06487499174629624,0.491351076229697,0.42647608448340074,0.21323804224170037,0.11025819317732499
676,16,0.0541669252758982,0.4041124339853631,0.34994550870946495,0.17497275435473247,0.09184190833321275
677,16,0.09273986176840224,0.46592723072324993,0.3731873689548477,0.18659368447742386,0.09755740269897933
678,24,0.2056026581273381,0.3963769848696731,0.190774326742335,0.0953871633711675,0.049985051389634425
679,16,0.15470410561746184,0.5027373428516737,0.34803323723421187,0.17401661861710593,0.09128076144463008
680,8,0.7033184426921388,0.7855912895937365,0.08227284690159764,0.04113642345079882,0.02187126227048243
681,24,0.4372115977611365,0.44975060879521667,0.012539011034080172,0.006269505517040086,0.0027953133381136436
682,8,0.5750699750852599,0.694994573336355,0.11992459825109503,0.059962299125547514,0.03187942720367878
683,8,0.6604612729045223,0.7637667739070075,0.10330550100248526,0.05165275050124263,0.027438199250370793
684,8,0.5740098177442565,0.6785924777116594,0.1045826599674029,0.05229132998370145,0.027830208288198363
685,8,0.5710490414542737,0.6970617948571787,0.12601275340290496,0.06300637670145248,0.033475455676989146
686,16,0.18241832292801718,0.5168439539234322,0.334425630995415,0.1672128154977075,0.0877799443449003
687,8,0.6553731081216327,0.7539566723166412,0.09858356419500847,0.04929178209750423,0.02620473831331048
688,8,0.6979693424922384,0.7876121151180291,0.08964277262579068,0.04482138631289534,0.023814120281180833
689,24,0.21820124515745878,0.4005832691586151,0.1823820240011563,0.09119101200057815,0.04769497955791845
690,8,0.5808769073593063,0.6925569811512331,0.11168007379192679,0.055840036895963396,0.029704875335238055
691,16,0.12196645925123958,0.45764239236245596,0.33567593311121635,0.16783796655560818,0.0881223059734649
692,8,0.8199301595760566,0.8730869261647555,0.053156766588698834,0.026578383294349417,0.014127855322841302
693,16,0.0862395953731813,0.43784397313051626,0.351604377757335,0.1758021888786675,0.09233974059909066
694,8,0.5926837432513286,0.7159067641488407,0.12322302089751214,0.06161151044875607,0.03272325812009074
695,8,0.5720704381310986,0.6906366089635092,0.11856617083241061,0.059283085416205306,0.03152521152209191
696,8,0.7540555383713374,0.8127954467599505,0.058739908388613093,0.029369954194306547,0.015633793678327682
697,24,0.12421203189658064,0.44109033738295533,0.3168783054863747,0.15843915274318734,0.08054437433851504
698,24,0.1474655819468008,0.4190765861603546,0.2716110042135538,0.1358055021067769,0.07023631383830628
699,24,0.10769045338197353,0.43731068273537144,0.3296202293533979,0.16481011467669895,0.08445846486620597
700,8,0.6706641527678519,0.7603660293699909,0.08970187660213902,0.04485093830106951,0.023852866141207126
701,24,0.39105717852373045,0.4456763021141676,0.054619123590437135,0.027309561795218568,0.01371154180779668
702,8,0.6240493531926019,0.730579544943724,0.1065301917511221,0.05326509587556105,0.028320066787594963
703,8,0.5538040425706916,0.6861173278556194,0.1323132852849278,0.0661566426424639,0.035142722516582535
704,16,0.14600006082195804,0.47495128842429135,0.3289512276023333,0.16447561380116665,0.08657902807329661
705,24,0.06267603235323094,0.44853698714226004,0.3858609547890291,0.19293047739451455,0.09945267193968382
706,24,0.13541546667048993,0.41727433941943554,0.2818588727489456,0.1409294363744728,0.07295568271673497
707,16,0.18047251328902986,0.5458608613063731,0.36538834801734327,0.18269417400867163,0.09524092140484942
708,24,0.08463917090149975,0.4303560705457529,0.3457168996442532,0.1728584498221266,0.08939233991006373
709,24,0.05709743497098688,0.4400198603348284,0.3829224253638416,0.1914612126819208,0.09890222811175704
710,24,0.09158554267568125,0.43436291795362014,0.3427773752779389,0.17138868763896944,0.08763410180952742
711,24,0.17132082969096046,0.413458031474959,0.24213720178399856,0.12106860089199928,0.06279405461707817
712,8,0.7191776174115689,0.7959047819994391,0.07672716458787021,0.038363582293935106,0.020393987651546357
713,8,0.7307923247440564,0.8031723892945188,0.07238006455046242,0.03619003227523121,0.019254096277551886
714,16,0.06549941303168233,0.42955266968434186,0.36405325665265953,0.18202662832632976,0.0953289889827498
