model,n_calib,shots_per_label,total_calibration_shots,mae_noisy_mean,mae_noisy_std,mae_exact,penalty_mean
bidir_seed4,32,16,512,0.1035453131390428,0.00423045497665205,0.08773175903834711,0.01581355410069569
bidir_seed4,32,32,1024,0.09235267438411149,0.008968871689481937,0.08773175903834711,0.004620915345764379
bidir_seed4,32,64,2048,0.08610479159825232,0.003107533675465614,0.08773175903834711,-0.001626967440094776
bidir_seed4,32,128,4096,0.08809750062959192,0.0017872852801893418,0.08773175903834711,0.0003657415912448114
bidir_seed4,32,512,16384,0.08709004124942267,0.0008511200082969206,0.08773175903834711,-0.0006417177889244425
bidir_seed4,64,16,1024,0.09089997499109032,0.007199274519016758,0.08536095832382512,0.005539016667265198
bidir_seed4,64,32,2048,0.08973708255440956,0.005860491377221586,0.08536095832382512,0.00437612423058443
bidir_seed4,64,64,4096,0.08590688152180408,0.002491664468284986,0.08536095832382512,0.0005459231979789592
bidir_seed4,64,128,8192,0.08423571616797859,0.0004944385616573426,0.08536095832382512,-0.0011252421558465315
bidir_seed4,64,512,32768,0.08519127722088261,0.0013765202560357705,0.08536095832382512,-0.00016968110294250937
bidir_seed4,128,16,2048,0.0905950202656702,0.0066280624477587785,0.08711874052689295,0.0034762797387772717
bidir_seed4,128,32,4096,0.08728308939176695,0.004192766172468745,0.08711874052689295,0.00016434886487400323
bidir_seed4,128,64,8192,0.08805228884738724,0.001840182247650993,0.08711874052689295,0.0009335483204942902
bidir_seed4,128,128,16384,0.08514225557844506,0.0007200663414122931,0.08711874052689295,-0.0019764849484478846
bidir_seed4,128,512,65536,0.0871516153469059,0.0006576202114060268,0.08711874052689295,3.287482001295139e-05
