base_index,length,fidelity_min,fidelity_max,ambiguity_diameter,minimax_abs_lower_bound,bayes_mae_lower_bound,exact_marginal_fidelity,exact_composition_grid_mae,fraction_grid_error_above_0p05
94,24,0.5012007492926405,0.6220652875084945,0.12086453821585408,0.06043226910792704,0.026671403213612957,0.8107799281117385,0.28025233247789155,1.0
95,8,0.7626246426463711,0.8261204675448706,0.06349582489849948,0.03174791244924974,0.016879377436961454,0.9520734330568211,0.15568095743229549,1.0
96,8,0.7687124908783602,0.8306544349246318,0.06194194404627151,0.030970972023135757,0.016450099859536018,0.9438764847025326,0.14196067852325348,1.0
97,8,0.7229495356047267,0.7928335851684964,0.0698840495637697,0.03494202478188485,0.018585112089653286,0.9414399302738825,0.18150483077973614,1.0
98,16,0.5238045642417833,0.635765658168634,0.11196109392685061,0.055980546963425304,0.03013515312877469,0.8842350584102282,0.303481980406843,1.0
99,8,0.7356033229281589,0.7991229168707441,0.06351959394258522,0.03175979697129261,0.01690209089889223,0.9426883130445453,0.17364586953635078,1.0
100,8,0.7290165447071155,0.7950080025761479,0.06599145786903238,0.03299572893451619,0.01755488521916094,0.9383991449335528,0.17454467192756576,1.0
101,24,0.44897220940222266,0.5904549121863947,0.14148270278417202,0.07074135139208601,0.03103446361786745,0.8042945114151528,0.3212513210832852,1.0
102,8,0.7061544410956657,0.7749181730613632,0.06876373196569752,0.03438186598284876,0.01829923838120059,0.9333839284555485,0.19108627088977065,1.0
103,8,0.8386722524239053,0.8799079459852224,0.041235693561317066,0.020617846780658533,0.010970058602656022,0.9695513774658373,0.10911763791226198,1.0
104,8,0.7478862193556397,0.8100181041166015,0.062131884760961764,0.031065942380480882,0.016530854468424557,0.9482820014750253,0.16764983558512395,1.0
105,24,0.47764221882719504,0.7018619221018652,0.2242197032746701,0.11210985163733506,0.054319296951975106,0.7406225770570858,0.19620777661019895,0.9333333333333333
106,16,0.4990840794782231,0.6334213066061682,0.13433722712794516,0.06716861356397258,0.03585643910782802,0.8922685890205344,0.3224462448908851,1.0
107,8,0.8050663252813505,0.8548188735612015,0.04975254827985098,0.02487627413992549,0.013231490264543155,0.9611768804895736,0.12978970150042768,1.0
108,24,0.5317172142346223,0.6068163416711423,0.07509912743652003,0.037549563718260015,0.014281675418740961,0.8484401098703289,0.29906085113010816,1.0
109,8,0.581571541052831,0.6805298786951589,0.09895833764232786,0.04947916882116393,0.026331431463283806,0.9058640833547655,0.27220163933596503,1.0
110,16,0.5030196803651885,0.656628377493597,0.15360869712840852,0.07680434856420426,0.04079597843751829,0.9071702214028318,0.32133395928688113,1.0
111,24,0.5215910836313628,0.6512584851710095,0.12966740153964673,0.06483370076982337,0.028229730904692066,0.7933029426181494,0.2408233578272843,1.0
112,8,0.8001843228570324,0.8513626738468151,0.05117835098978263,0.025589175494891314,0.01361108632466747,0.9556996623599321,0.12839790373004914,1.0
113,24,0.5053537571171264,0.594140439864335,0.08878668274720858,0.04439334137360429,0.0171444315884879,0.7982842534059216,0.2728250864688352,1.0
114,8,0.7891415822076756,0.8360007762519887,0.046859194044313046,0.023429597022156523,0.012476219329125949,0.9556915144883082,0.14206425498684452,1.0
115,16,0.5415995734829178,0.6445084157623835,0.10290884227946573,0.051454421139732864,0.02761596676681916,0.8964336456198815,0.30244961923160507,1.0
116,16,0.5487879421265225,0.6452548467133956,0.09646690458687313,0.04823345229343656,0.02598337448622201,0.8855565025377933,0.2882757092416907,1.0
117,16,0.5524727834948939,0.680560461497118,0.1280876780022241,0.06404383900111205,0.034148624513541406,0.8999094383862187,0.27929715210054445,1.0
118,16,0.47440189240388325,0.6339046265601713,0.15950273415628807,0.07975136707814404,0.04236989324703105,0.9005046266427523,0.3402279170324333,1.0
119,16,0.5406958113925697,0.6240183922860305,0.08332258089346078,0.04166129044673039,0.02274828201798939,0.8743014736768903,0.29412303728315653,1.0
120,8,0.7003594552454625,0.7662568816186069,0.06589742637314444,0.03294871318657222,0.017544327419816833,0.9290097586027206,0.19419100499112535,1.0
