method,checkpoint,repeat,per_query_shots,readout_error,mitigation,offline_quantum_shots,fusion_weight,mean_oracle_sigma,mae_F_e,rmse_F_e,bias_F_e,pearson
measurement_conditioned_hybrid,bidir_seed3,1,64,0.01,calibrated_symmetric,8192,0.6287424121824718,,0.0535833638252567,0.06714822697912019,0.0029805785865605486,0.9408970297208894
measurement_conditioned_hybrid,bidir_seed4,1,64,0.01,none,8192,0.6368689920683867,,0.053350258921686405,0.06685082649426609,-0.0025842112173589987,0.9414910615308443
measurement_conditioned_hybrid,bidir_seed4,1,64,0.01,calibrated_symmetric,8192,0.6216361668221775,,0.053346580935935126,0.06691859793298725,0.00327703593789598,0.9413459302374225
stratified_dfe,none,1,64,0.03,none,0,1.0,0.08670822414754802,0.07553041593859061,0.09451476237902696,-0.02640464527177669,0.8999039559735938
stratified_dfe,none,1,64,0.03,calibrated_symmetric,0,1.0,0.09224279164632768,0.0761295651206061,0.09561372150456432,0.0004483499156599958,0.8999039559735938
measurement_conditioned_hybrid,bidir_seed0,1,64,0.03,none,8192,0.6890012560889064,,0.06139950432269677,0.07603651620826096,-0.014885245733898562,0.9264338983143049
measurement_conditioned_hybrid,bidir_seed0,1,64,0.03,calibrated_symmetric,8192,0.670141780833599,,0.060013175156617166,0.07484944892760803,0.0038093159893806175,0.9266242148661048
measurement_conditioned_hybrid,bidir_seed1,1,64,0.03,none,8192,0.6997063987986754,,0.06185645051748872,0.07664812746026695,-0.014562350230968074,0.9250156001964946
measurement_conditioned_hybrid,bidir_seed1,1,64,0.03,calibrated_symmetric,8192,0.67977779956646,,0.060536962851078804,0.07555389141889726,0.0044783021413536345,0.9252508012620403
measurement_conditioned_hybrid,bidir_seed2,1,64,0.03,none,8192,0.6826196750043388,,0.0612476079179166,0.07582222865586583,-0.014585418618536268,0.9267625113577123
measurement_conditioned_hybrid,bidir_seed2,1,64,0.03,calibrated_symmetric,8192,0.6644239743236159,,0.05991074464610536,0.07470733485780814,0.003934540325625534,0.9269127039302703
measurement_conditioned_hybrid,bidir_seed3,1,64,0.03,none,8192,0.6908415235153129,,0.061521812145288825,0.07617796785721109,-0.01513152905953879,0.9262375127073352
