split,model,seed_index,nominal_level,empirical_coverage
Length OOD,Generic-GNN,3,0.5,0.9939831528279182
Length OOD,Generic-GNN,3,0.6,0.9939831528279182
Length OOD,Generic-GNN,3,0.7,0.9975932611311673
Length OOD,Generic-GNN,3,0.8,0.9987966305655837
Length OOD,Generic-GNN,3,0.9,0.9996991576413959
Length OOD,Generic-GNN,4,0.1,0.891395908543923
Length OOD,Generic-GNN,4,0.2,0.9094464500601684
Length OOD,Generic-GNN,4,0.3,0.9280986762936222
Length OOD,Generic-GNN,4,0.4,0.9584837545126353
Length OOD,Generic-GNN,4,0.5,0.9771359807460891
Length OOD,Generic-GNN,4,0.6,0.9789410348977136
Length OOD,Generic-GNN,4,0.7,0.9843561973525873
Length OOD,Generic-GNN,4,0.8,0.9909747292418772
Length OOD,Generic-GNN,4,0.9,0.9951865222623345
ID,Bidir Trans.,0,0.1,0.1
ID,Bidir Trans.,0,0.2,0.1974
ID,Bidir Trans.,0,0.3,0.3002
ID,Bidir Trans.,0,0.4,0.4036
ID,Bidir Trans.,0,0.5,0.503
ID,Bidir Trans.,0,0.6,0.593
ID,Bidir Trans.,0,0.7,0.6944
ID,Bidir Trans.,0,0.8,0.7988
ID,Bidir Trans.,0,0.9,0.9004
ID,Bidir Trans.,1,0.1,0.1032
ID,Bidir Trans.,1,0.2,0.195
ID,Bidir Trans.,1,0.3,0.288
ID,Bidir Trans.,1,0.4,0.3974
ID,Bidir Trans.,1,0.5,0.4916
ID,Bidir Trans.,1,0.6,0.5898
ID,Bidir Trans.,1,0.7,0.6878
ID,Bidir Trans.,1,0.8,0.799
ID,Bidir Trans.,1,0.9,0.8896
ID,Bidir Trans.,2,0.1,0.106
ID,Bidir Trans.,2,0.2,0.1982
ID,Bidir Trans.,2,0.3,0.3048
ID,Bidir Trans.,2,0.4,0.4002
ID,Bidir Trans.,2,0.5,0.5006
ID,Bidir Trans.,2,0.6,0.5964
ID,Bidir Trans.,2,0.7,0.7028
ID,Bidir Trans.,2,0.8,0.7972
ID,Bidir Trans.,2,0.9,0.8986
ID,Bidir Trans.,3,0.1,0.0992
ID,Bidir Trans.,3,0.2,0.1906
ID,Bidir Trans.,3,0.3,0.2884
ID,Bidir Trans.,3,0.4,0.395
ID,Bidir Trans.,3,0.5,0.4904
ID,Bidir Trans.,3,0.6,0.5932
ID,Bidir Trans.,3,0.7,0.7054
ID,Bidir Trans.,3,0.8,0.8038
ID,Bidir Trans.,3,0.9,0.9042
ID,Bidir Trans.,4,0.1,0.0978
ID,Bidir Trans.,4,0.2,0.1976
ID,Bidir Trans.,4,0.3,0.3124
ID,Bidir Trans.,4,0.4,0.4164
ID,Bidir Trans.,4,0.5,0.5222
ID,Bidir Trans.,4,0.6,0.6136
ID,Bidir Trans.,4,0.7,0.7138
ID,Bidir Trans.,4,0.8,0.986
ID,Bidir Trans.,4,0.9,0.9934
Length OOD,Bidir Trans.,0,0.1,1.0
Length OOD,Bidir Trans.,0,0.2,1.0
Length OOD,Bidir Trans.,0,0.3,1.0
