model,n_calib,shots_per_label,total_calibration_shots,repeat,mae_noisy_calibration,mae_exact_calibration,calibration_noise_penalty
bidir_seed1,128,16,2048,3,0.10497129457588301,0.09074105885602228,0.014230235719860734
bidir_seed2,128,16,2048,3,0.10270863105879119,0.08796645626239247,0.014742174796398722
bidir_seed3,128,16,2048,3,0.10361053522207171,0.08834326005394762,0.015267275168124095
bidir_seed4,128,16,2048,3,0.1019774236491489,0.08711874052689295,0.014858683122255953
bidir_seed0,16,16,256,4,0.1381171178977216,0.09299630234517299,0.04512081555254861
bidir_seed1,16,16,256,4,0.1377867269101126,0.0950429130130158,0.04274381389709679
bidir_seed2,16,16,256,4,0.13660861720858736,0.09255976679808248,0.04404885041050488
bidir_seed3,16,16,256,4,0.13642046840430674,0.09357931645298719,0.04284115195131956
bidir_seed4,16,16,256,4,0.13643820893702963,0.09212245739356438,0.044315751543465245
bidir_seed0,32,16,512,4,0.10593206662853945,0.08852378859881133,0.017408278029728122
bidir_seed1,32,16,512,4,0.10739373481316805,0.09139386858769387,0.015999866225474182
bidir_seed2,32,16,512,4,0.10483556555527569,0.08815827118460912,0.016677294370666576
bidir_seed3,32,16,512,4,0.10417952759126588,0.08811942765793149,0.01606009993333439
bidir_seed4,32,16,512,4,0.10476322958207923,0.08773175903834711,0.017031470543732122
bidir_seed0,64,16,1024,4,0.08444305433940995,0.08606220456904624,-0.0016191502296362958
bidir_seed1,64,16,1024,4,0.08693474198164448,0.08889471167863064,-0.001959969696986155
bidir_seed2,64,16,1024,4,0.08434506100541317,0.08601845437757337,-0.0016733933721602007
bidir_seed3,64,16,1024,4,0.08456110356419526,0.0865502101432856,-0.0019891065790903356
bidir_seed4,64,16,1024,4,0.08389677714669865,0.08536095832382512,-0.0014641811771264751
bidir_seed0,128,16,2048,4,0.08650380248877342,0.08804321046293469,-0.001539407974161272
bidir_seed1,128,16,2048,4,0.0893093584247535,0.09074105885602228,-0.0014317004312687787
bidir_seed2,128,16,2048,4,0.0864720088454045,0.08796645626239247,-0.001494447416987968
bidir_seed3,128,16,2048,4,0.08676597375213221,0.08834326005394762,-0.0015772863018154032
bidir_seed4,128,16,2048,4,0.08546204127667172,0.08711874052689295,-0.0016566992502212302
bidir_seed0,16,32,512,0,0.08903853094148977,0.09299630234517299,-0.0039577714036832246
bidir_seed1,16,32,512,0,0.09007716781815038,0.0950429130130158,-0.004965745194865423
bidir_seed2,16,32,512,0,0.08869037542043506,0.09255976679808248,-0.003869391377647413
bidir_seed3,16,32,512,0,0.08843059613600875,0.09357931645298719,-0.005148720316978439
bidir_seed4,16,32,512,0,0.08805060556213185,0.09212245739356438,-0.004071851831432535
bidir_seed0,32,32,1024,0,0.08963212981241157,0.08852378859881133,0.0011083412136002474
bidir_seed1,32,32,1024,0,0.09105807537839483,0.09139386858769387,-0.00033579320929903733
bidir_seed2,32,32,1024,0,0.0891750216999572,0.08815827118460912,0.0010167505153480805
bidir_seed3,32,32,1024,0,0.08919462694605407,0.08811942765793149,0.0010751992881225803
bidir_seed4,32,32,1024,0,0.08882853529164522,0.08773175903834711,0.0010967762532981123
bidir_seed0,64,32,2048,0,0.08916391381294203,0.08606220456904624,0.0031017092438957866
bidir_seed1,64,32,2048,0,0.0897431586939616,0.08889471167863064,0.0008484470153309609
bidir_seed2,64,32,2048,0,0.08885011565006373,0.08601845437757337,0.002831661272490363
bidir_seed3,64,32,2048,0,0.08866578228022874,0.0865502101432856,0.0021155721369431474
bidir_seed4,64,32,2048,0,0.08853509599694533,0.08536095832382512,0.003174137673120206
bidir_seed0,128,32,4096,0,0.0841016977794712,0.08804321046293469,-0.003941512683463488
bidir_seed1,128,32,4096,0,0.08604076012098451,0.09074105885602228,-0.004700298735037772
bidir_seed2,128,32,4096,0,0.08405672860246288,0.08796645626239247,-0.003909727659929585
bidir_seed3,128,32,4096,0,0.08411643880874686,0.08834326005394762,-0.004226821245200754
bidir_seed4,128,32,4096,0,0.08365992688592425,0.08711874052689295,-0.0034588136409687
bidir_seed0,16,32,512,1,0.10191323930812687,0.09299630234517299,0.008916936962953884
bidir_seed1,16,32,512,1,0.10393639733509448,0.0950429130130158,0.008893484322078676
bidir_seed2,16,32,512,1,0.1012490403122707,0.09255976679808248,0.008689273514188217
bidir_seed3,16,32,512,1,0.10273190134829815,0.09357931645298719,0.00915258489531097
bidir_seed4,16,32,512,1,0.10111749976726149,0.09212245739356438,0.00899504237369711
bidir_seed0,32,32,1024,1,0.08740714434796067,0.08852378859881133,-0.0011166442508506597
bidir_seed1,32,32,1024,1,0.08987074137056353,0.09139386858769387,-0.0015231272171303406
bidir_seed2,32,32,1024,1,0.08721253443590167,0.08815827118460912,-0.0009457367487074458
bidir_seed3,32,32,1024,1,0.08776916332740632,0.08811942765793149,-0.0003502643305251657
